Player,BPM
Kobe Bryant*,0.7749999999999999
Kosta Koufos,-0.3
Kostas Papanikolaou,-2.0
Kris Humphries,-1.0
Kris Joseph,-9.9
Kurt Thomas,-1.0
Kwame Brown,-4.300000000000001
Kyle Anderson,-1.4
Kyle Korver,1.9749999999999999
Kyle Lowry,3.675
Kyle O'Quinn,-0.7333333333333334
Kyle Singler,-2.1666666666666665
Kyrie Irving,3.8249999999999997
Kyrylo Fesenko,8.4
LaMarcus Aldridge,2.375
Lamar Odom,-1.9
Lance Stephenson,-1.725
Lance Thomas,-5.625
Landry Fields,-0.8250000000000001
Langston Galloway,-2.3
Larry Drew II,-9.9
Larry Hughes,-11.9
Larry Owens,-4.6
Larry Sanders,-1.225
Lavoy Allen,-2.125
Lazar Hayward,-5.2
LeBron James,9.625
Leandro Barbosa,-1.0999999999999999
Lester Hudson,0.6999999999999997
Linas Kleiza,-3.7
Lorenzo Brown,-3.85
Lou Amundson,-4.75
Lou Williams,1.7000000000000002
Luc Mbah a Moute,-2.6999999999999997
Lucas Nogueira,-10.5
Luis Scola,-1.3
Luke Babbitt,-1.5499999999999998
Luke Harangody,-3.0
Luke Ridnour,-2.25
Luke Walton,-4.05
Luke Zeller,-7.2
Luol Deng,0.725
Maalik Wayns,-2.5500000000000003
Malcolm Lee,-10.9
Malcolm Thomas,-4.449999999999999
Manny Harris,-2.8
Manu Ginóbili,4.05
MarShon Brooks,-1.7333333333333332
Marc Gasol,4.1
Marcin Gortat,1.0
Marco Belinelli,-0.8
Marcus Camby,-0.7
Marcus Morris,-2.6750000000000003
Marcus Smart,-0.5
Marcus Thornton,0.275
Mario Chalmers,-0.375
Markel Brown,-2.6
Markieff Morris,-0.825
Marquis Daniels,-3.0
Marquis Teague,-6.5
Marreese Speights,-2.85
Martell Webster,-1.7
Marvin Williams,0.025000000000000022
Mason Plumlee,0.55
Matt Barnes,0.7250000000000001
Matt Bonner,0.7750000000000001
Matt Carroll,-8.7
Matthew Dellavedova,-2.3
Maurice Evans,-3.6
Maurice Harkless,-1.7666666666666668
Mehmet Okur,-4.5
Melvin Ely,-10.3
Metta World Peace,-0.5666666666666665
Meyers Leonard,-2.2333333333333334
Michael Beasley,-3.325
Michael Carter-Williams,-0.8
Michael Kidd-Gilchrist,-1.7333333333333334
Michael Redd,-2.6
Mickaël Gelabale,-0.2
Mickaël Piétrus,-3.3
Mickell Gladness,-4.7
Mike Bibby,-1.9
Mike Conley,3.4000000000000004
Mike Dunleavy,0.6499999999999999
Mike Harris,0.3
Mike James,-4.7
Mike Miller,-0.35
Mike Muscala,-2.7
Mike Scott,-1.8666666666666665
Mikki Moore,-6.9
Miles Plumlee,-3.233333333333333
Miroslav Raduljica,-9.3
Mirza Teletović,-1.0666666666666667
Mitch McGary,-1.9
Mo Williams,-0.875
Monta Ellis,-0.025
Morris Almond,-1.8
Mustafa Shakur,-18.6
Mychel Thompson,-7.1
Nando De Colo,-0.5
Nate Robinson,0.19999999999999996
Nate Wolters,-3.8
Nazr Mohammed,-3.6
Nemanja Nedović,-10.0
Nenê,0.55
Nerlens Noel,-0.3
Nick Calathes,-0.45
Nick Collison,-0.19999999999999998
Nick Johnson,-6.5
Nick Young,-1.2249999999999999
Nicolas Batum,2.6999999999999997
Nik Stauskas,-3.3
Nikola Mirotić,2.3
Nikola Peković,0.025000000000000022
Nikola Vučević,-0.42500000000000004
Noah Vonleh,-3.1
Nolan Smith,-6.2
Norris Cole,-4.2749999999999995
O.J. Mayo,-0.9249999999999999
Ognjen Kuzmić,-5.15
Omri Casspi,-0.8500000000000001
Orlando Johnson,-2.4499999999999997
