,X,PLAYER,Play_Yrs,Games,Year,Pick,CLASS,CONF,ORTG,USG,EFG,TS,OR,DR,AST,TO,BLK,STL,FTR,FT_PERC,X2P_PERC,X3PR,X3P_PERC,HEIGHT_IN,BPM
124,33,Robert Sacre,4,189,2012,60,Sr,WCC,111.7,22.9,51.1,59.5,9.9,18.1,5.7,18.1,5.8,0.8,86,0.761,0.515,0.9,0,85,-5.125
125,1,Anthony Bennett,4,151,2013,1,Fr,MWC,112.8,25.7,57.5,60.4,9.9,21.3,8.2,15.3,4.3,1.5,46,0.696,0.576,25.8,0.383,80,-4.15
126,2,Victor Oladipo,6,376,2013,2,Jr,B10,122.7,22.6,64.8,67.1,11.7,14,15.2,21.1,2.8,4.6,42.8,0.746,0.644,22.4,0.441,77,-0.15
127,3,Otto Porter,6,351,2013,3,So,BE,118.8,23.4,54.1,59,6.7,19,18.5,11.7,3,3.3,44.9,0.777,0.504,29.1,0.422,80,-0.575
128,4,Cody Zeller,6,322,2013,4,So,B10,119.4,26.5,56.2,62.3,12.4,18.7,9.4,17.1,4.4,2.1,73.2,0.757,0.565,0.6,0,85,-0.625
129,5,Alex Len,6,344,2013,5,So,ACC,112.7,22.6,53.5,57,13.2,19.3,7.8,15.6,8,0.5,47.2,0.686,0.544,2.5,0.125,85,-3.75
130,6,Nerlens Noel,5,231,2013,6,Fr,SEC,109,18.2,59,58.3,10.4,22.3,9.5,19.1,13.2,3.9,62.7,0.529,0.59,0,0,82,0.633333333333333
131,7,Ben McLemore,6,354,2013,7,Fr,B12,118.7,22,58.6,63.3,5,12.3,12.6,17.2,2.2,1.8,34.5,0.87,0.553,43.5,0.42,77,-3.55
132,8,Kentavious CaldwellPope,6,398,2013,8,So,SEC,112.7,27.2,53,57.9,4.3,19.7,16.8,13.8,1.9,3.8,39.3,0.799,0.498,52.3,0.373,77,-1.2
133,9,Trey Burke,6,313,2013,9,So,B10,121.4,28.9,52.9,56.9,1.8,8.9,37.4,13.1,1.6,2.8,30.2,0.805,0.503,35.5,0.383,73,-1.875
134,10,CJ McCollum,6,351,2013,10,Sr,Pat,115.7,35,58,62.8,4,14.5,25.1,14.7,1.2,2.7,37.6,0.849,0.485,33,0.516,75,-0.175
135,11,Michael CarterWilliams,6,294,2013,11,So,BE,102.6,24.4,43.8,49.1,4,11.1,40.2,24.1,1.7,4.8,47.2,0.694,0.438,30.5,0.292,78,-1.375
